"Timestamp","What 3 words would you use to describe IBL culture?","What do you like most about working in IBL?","What do you like least about working in IBL?","How happy are you as a member of IBL?","Is there something that could be done to make you happier? ","How integrated do you feel as a member of IBL?","How integrated do you feel as a member of your home lab?","Do you find integration in one (IBL vs home lab) interferes with the other?","Do you have personal responsibilities outside of work that impact your contributions to IBL?","Do you have someone within IBL with whom you feel comfortable sharing personal concerns (housing, financial, family, physical or mental health)?","What percentage of your time do you spend working for IBL?","Do you feel explicit or implicit pressure to work more hours than you feel is healthy?","Do you feel explicit or implicit pressure to work more hours on IBL projects than you would have liked?	","Do you feel explicit or implicit pressure to avoid taking vacations?","Have you experienced or witnessed a hostile work environment in IBL? (bullying, gender harassment, sexual harassment)","How well does IBL communicate as a whole?","What are some ways that we could improve communication in IBL?","Do you feel that IBL rules/policies are clear? Are there unspoken rules or policies that you feel should be more clearly communicated?","Are there policies you feel should be explicitly written? If so, please explain which ones.","Do you feel that the same rules of conduct apply to everyone in IBL? If not, please explain.","Do you feel empowered to make suggestions to improve IBL culture/organization?","If yes, to whom would you make such suggestions?","If no, can you explain why this is a challenge or difficulty?","Do you feel it is easy to get information from your colleagues in the IBL?","Do you feel it is easy to get information from IBL task force leader(s) or working group chairs you work with?","How useful do you find the various IBL working group and task force meetings?","Is there something that could make working group and task force meetings more useful or productive?","How useful do you find the Wednesday IBL lab meeting?","Is there something that could make Wednesday IBL meetings more useful or productive?","How easy is it for you to locate resources in the IBL?	","How often do you encounter issues that could have been averted if things were better organized?  (e.g., documentation is missing/poor quality, equipment problems, servers down.)","Please tell us more about the kinds of organizational issues you have encountered and any suggestions to improve such issues.","How supported do you feel by IBL PIs?","Do you feel you are getting adequate mentoring, career advice, and general guidance to succeed from within the consortium?","Do you feel the IBL adequately provides you with the tools and technologies you need?","What is your opinion of the level of technical support in the IBL?","What is your opinion of the level of administrative support in the IBL?","Do you feel you have adequate support to take on tasks in your task forces or working groups?","Do you feel that you have adequate opportunities to learn new skills in your task forces or working groups?","Do you feel that you have adequate opportunities to learn new skills on your personal project?","How do you feel about the level of feedback on your work in task forces or working groups? ","How do you feel about the level of feedback on your work on your personal project? ","How do you feel about the level of guidance from your IBL task force leader(s) or working group chairs?	","How do you feel about the level of guidance from your IBL home PI?","How do you feel about the level of guidance from your PIs on your personal project?","Do you have an IBL Mentor? If not, would you like one?","If yes, how useful do you find the Mentorship program?","If yes, is there something that could make these mentorship meetings more useful or productive?","How do you feel about the level of formal feedback you receive on your progress?","Would you like IBL to organize formal training in any of the following?","What is your impression of the funding of the IBL?","How much freedom do you feel you have to decide how you do your work for IBL?","Are there any aspects of the ways we collaborate that are not working? Please explain.","How familiar are you with the IBL's authorship policies?","Do you have any concerns about anticipated authorship on papers describing your IBL work on platform papers?","Do you have any concerns about anticipated authorship on papers describing your IBL work on personal projects?","If IBL had the funds to hire one more full-time person, what skills should that person have and what role would they play in the IBL?","Is there something that you experienced in a previous lab(s) that you wish we also did in IBL?","Are there any concerns or other areas of the IBL you believe could be improved that have not been addressed in previous questions? Please list any other areas you think could be improved or should be addressed.","Finally, did you find this survey useful? If yes, how often should the survey be conducted?","What role best describes your position in IBL?"
"2025/02/25 11:56:30 AM GMT+1","","","","","","","","","","","","","","","","3","more engagement from all members!","yes","no","yes","Yes","PIs","","3","4","4","stronger PI engagement","3","stronger PI engagement","4","3","","","","4","4","4","4","4","","","","","","","","","","","","4","","","4","","","lab technicians","","","once a year","PI"
"2025/02/25 2:08:51 PM GMT+1","","","","","","","","","","","","","","","","3","More usage of slack announcement channel, also for smaller decisions that impact the IBL as a whole.","","","","Yes","Anyone for whom I have suggestions","","4","4","4","","3","","3","4","Sometimes crucial data loading code doesn't work after updates but is usually fixed within two weeks","4","4","4","4","4","4","4","","4","","","","","No, and I don't want one","","","","","4","2","","2","no","","Software dev","","","annually","Staff"
"2025/03/03 12:17:18 PM GMT+1","","","","","","","","","","","","","","","","3","Continue with efforts to centralize information and avoid duplication of information.","Yes. ","Can't think of any.","Yes.","Yes","Depending on the topic, Hannah B or Gaelle C","","4","4","4","","","They are not happening right now, but initiatives to have something similar back seem important.","3","4","","3","3","3","4","4","4","4","4","","2","3","2","2","Yes, I have one","3","I haven't one in a long time but the ones I had were  useful","3","Giving talks;Writing papers;Time management;Programming/coding","3","1","At the moment, I feel there is not so much scientific discussion that brings together different people. But perhaps that is natural given the stage and nature of the current projects.","3","No","No","I am not sure, but it seems that it should be someone who could help the staff.","","","Yes, but some questions (e.g. the wednesday lab meeting ones) are outdated. Once a year is fine.","Student"
"2025/03/15 7:47:09 PM GMT+1","","","","","","","","","","","","","","","","1","I think any initiatives should be always discussed in public slack channels, not in closed groups.

It seems that researchers do not have full access to information that may affect them or opportunities are not distributed equally. 

Sometimes, there is an impression that staff make decisions internally and do not necessarily want to discuss them with researchers. Instead, they seem to prefer researchers to be passive executors of their decisions. This is particularly unfair because some researchers are highly trained experts, and their input should be valued.","These rules can be interpreted differently, and sometimes one person in management decides how to execute the rule in a way that benefits them the most.","","no, IBL is not a democratic collaboration, it is very hierarchical","No","","There is an illusion that everyone can make suggestions, but in practice, only PIs and those attending ""closed"" meetings or being in good relationship with management have real power and impact. Sadly, I have never felt that researchers' suggestions were taken seriously.","2","2","2","","1","","1","1","There is still a massive problem with IBL pipelines, tools, scripts which is not taken seriously by staff and affects the work and progress of those who have to use them. Sometimes, it seems like an ""external"" input from others (not associated with IBL) is required to drive change and improvements. This is not because the issue was not recognized before, but because staff ignore the suggestions and feedback provided by researchers within the collaboration. ","1","1","3","2","2","2","1","1","2","2","2","1","1","Yes, I have one","3","","1","Writing grants;Writing papers","1","4","It feels like there is an imbalance in who benefits the most from collaboration. There is pressure to share data as soon as possible so others can publish. Experimental work is mainly treated as labor, and the amount of work and effort required to acquire data is not recognized. The person doing that work is left behind (with career progress and publication), while the low-hanging fruit of publication is taken by others who do not spend their precious time on experiments and dealing with issues with IBL pipelines.

Additionally, there is still a problem with communication with staff and the use of developed tools or scripts. It often feels like these solutions have been specifically tailored for a single dataset or experimental design. It is disappointing that tools that are broadly advertised are difficult to adapt for other projects. ","2","","","A professional manager who would be neutral, transparent and fair, not associated with either the staff or the researchers.","I am not sure what this question is about.","in terms of career development, it is very clear that IBL is great opportunity for those only using data, staff members and those that jump to project only for a very short time (but enough to be listed as an author in papers). This collaboration does not work well for those who needs first authors papers (multiple) or have to perform experiments.","These questions do not necessarily help in getting a sense of the culture within the collaboration. They should be changed. ","Prefer not to say"
"2025/03/19 5:01:59 PM GMT+1","","","","","","","","","","","","","","","","3","more big-picture vision/coordination","","","","Yes","hannah or PIs like Liam and Anne and Peter D","","4","4","3","","4","","3","3","","","3","4","3","3","4","3","","3","","4","","","","","","","","3","4","","4","","","","","","","PI"
"2025/03/21 5:04:58 PM GMT+1","","","","","","","","","","","","","","","","4","If one follows Slack, there is all the information needed. Perhaps those who don't use Slack could benefit from an occasional email update.","They are clear.","No","Yes","Yes","The EB","","4","4","3","Sometimes things are a bit bureaucratic but that's life in a big institution","2","I cannot comment because I find it hard to attend","3","4","","","","4","4","4","4","4","","2","","","","","","3","","","","3","","","3","","","","","","","PI"
"2025/03/24 9:52:58 PM GMT+1","","","","","","","","","","","","","","","","4","","","","","Yes","","","3","3","","","","","","","","3","2","3","3","3","","","3","","","","","3","No, and I want one","","","","Writing grants;Writing papers","3","2","","2","","","","","","","Postdoc"
"2025/03/27 2:35:06 PM GMT+1","","","","","","","","","","","","","","","","1","Ensure a core common escalation procedure and priority for communication. Eg first slack, then email (and only this). Ensure clear definition of what should be public or IBL wide vs side channel.","The written policies are clear and well formed. However, they are bent by the PIs and the checks on following the policies are informal and, perhaps, biased in their enforcement.","We have a lack of clarity in to what extent non-platform/IBL wide projects and papers should follow the IBL policies and standards without explicit discussion. Eg personal projects that modify aspects of the rig or task or use alternative analysis approaches without communication. These impose costs on staff and reduce improvements for the IBL as a whole. They also may produce results that are below the standards normally associated with the IBL.","No, PIs are exempt from policies, conduct rules and consequences. ","Yes","Hannah","","3","1","3","","3","","1","1","","1","1","1","1","1","1","1","3","1","1","1","1","1","No, and I want one","1","","3","Giving talks;Writing grants;Writing papers;Time management;Programming/coding;Designing experiments ","1","2","The original collective goals and working environment seems to have deteriorated. The support of collaborative researchers and encouraging collaborative science seems to have given way to aimless drift. A major problem seems to have been a lack of strategic discussion and vision to keep the larger goals working. ","1","No","No","Collaboration strategies that might allow the IBL to be a center for developing collaborative science for the broader community. A leader of collaborative science. ","","","Yes","Prefer not to say"
"2025/04/08 8:44:35 AM GMT+1","","","","","","","","","","","","","","","","3","More interactions. Within researchers and with the staff. ","","","","Yes","Hannah, Gaelle, researchers' representatives","","3","3","4","","3","They might not always feel directly useful to some researchers (completely fine, since we have such a broad community), but I still think they’re important for everyone to share their work.","2","3","","3","3","3","3","4","4","3","2","3","3","4","1","1","Yes, I have one","4","I think it depends on the mentor as well. In my case, the meetings were very useful and productive. ","3","Giving talks;Writing grants;Writing papers;Time management;Programming/coding;(not to be written here, but maybe we can also alternate for example the lab meetings with informal meetings about those, in which people can also share their personal experiences and advices :))","3","3","In most of these questions the answer may be different depending on the WG/project/people we work with. Some work well and are straight forward with clear goals and how the work is divided. ","3","","I just wish things go fair with authorship and comments, taking also into account the amount of work and time spent in the project. ","For one of the projects I am in, research experimentalists - with good skills (or fast learners/with previous experience) in surgery and experience with mouse behavior experiments - from what I know of the current situation, I feel we would need more help in that part in order to collect more mice data. ","","","Yes, I think giving our feedback is always useful. Maybe instead of 1 big survey, we can have multiple quick ones on a given subject - in case there are not many members answering, maybe this would be a good option to try. In this format, 2x per year? ","Student"
"2025/04/10 12:39:25 PM GMT+1","","","","","","","","","","","","","","","","3","Commitment from all active scientists to inform the community what they're doing. More opportunities to meet informally (online or in person). ","In theory, yes (as the important rules/policies have been written up), but I don't think most people are aware of them. E.g. authorship and data release policies are not clear to everyone, and have not been fit for purpose when it comes to smaller scale projects. So it's important to have periodic reminders about the policies, to have effective conflict resolution that is based on the policies, and to have active discussions with the whole community when they are not working properly.","I think most policies are covered, but they should be reviewed and in some cases overhauled.","There is a majority of people in IBL who clearly want to uphold high standards of work culture and whose conduct fits the policies laid out by IBL. That said, in practice, not everyone in IBL cares about the rules of conduct (as shown by past, often anonymous, reports of bullying and marginalisation). When this concerns senior people, the structure of IBL means that there is very little leverage to get them to change anything - it is often more convenient to keep the status quo, and to let individuals manage their slice of the pie the way they see fit.","No","","There are conduits for making suggestions to IBL as a whole, and these suggestions are often well received. But in practice, they often stall before any implementation, mainly because of a general lack of engagement and motivation from the community as a whole.","3","3","2","More engagement from PIs and researchers that claim scientific credit for the WG / TF's outputs. More scientific vision in general.","2","They only happen once in a blue moon, so they may not be useful at all anymore.","2","1","The reliability and transparency of the hardware/software support has improved relative to last year: the more robust approaches to updating code and detecting bugs (unit tests, code reviews, better documentation, etc) are a huge step forward. That said, there have still been many issues with iblrigv8 over the past year, some of which have impacted mouse training and the behavioural+neural data recorded. There still is a tendency to roll out updates without considering the impact that potential bugs could have on the science. This is fundamentally a testing coverage problem: some issues can only be found out after running real mice through real task protocols. In my opinion it would be better to properly simulate the task as part of the testing regime, and to roll out updates in rigs running less high-risk experiments first.","3","3","2","3","3","4","3","4","2","2","1","2","2","No, and I don't want one","","","","Writing papers;Programming/coding","3","1","The current reality of IBL is that most people are not engaged with the collaboration anymore. The primary scientific outputs of the consortium (the behaviour, brainwide map & prior papers) are now wrapped up, and most scientists involved in those have either moved on to personal projects or to different jobs altogether. There is a new generation of scientists that are doing smaller scale collaborative projects within IBL, which no longer fit under the term 'platform project' or 'personal project'. The way those collaborations should be formalised is still unclear, and may require ad hoc agreements rather than central policies. ","3","Yes. It isn't clear if the 'platform project' I am involved in actually falls under the definition of a platform paper. Therefore, we still don't have a clear agreement if and how first authorship should be attributed; if and how the people who originally conceived of the project should be credited.","No","A staff scientist with good programming skills as well as scientific interest. They could have a more active role in supporting the implementation of exploratory & confirmatory analyses on the neural data.","Quick-fire rounds of what people are currently working on (much like the staff's sprint reports, but for researchers).","Many researchers in IBL have voiced concerns over the years about how well their work in IBL, and the credit received for it, has prepared them for an academic career. The collaboration between 'theorists' and 'experimentalists' has had mixed success, and many people have felt that they've had to trade off their own scientific interests against the success of the platform projects. Individual scientific output, and general motivation has suffered as a result. There is no obvious solution to this, but it's important that their concerns are heard and that any future large-scale collaboration puts their interests first. ","Yes. Once a year is fine. ","Postdoc"
"2025/04/10 2:51:55 PM GMT+1","fun, creative, inspiring","supportive environment","zoom meetings","4","","3","4","No","No","Yes","4","4","3","4","4","4","","Yes","","Yes","Yes","PIs","","4","4","4","","4","","3","3","","4","4","4","4","4","4","4","4","4","4","4","4","4","No, and I don't want one","2","","2","","2","4","","3","No","No","","","","","PI"
"2025/04/10 3:16:22 PM GMT+1","Collaborative, Rigorous, Data-driven","The collaborative atmosphere","In a large organization, things are less spontaneous","4","","4","4","no","yes","Yes","3","4","4","4","4","3","I can't think of anything","yes","no","yes","Yes","Hannah Bayer","","3","3","3","","3","","3","2","Some of the online software documentation is out of date","4","4","4","4","4","4","4","4","4","4","4","4","4","No, and I don't want one","","","","","4","1","","4","","","","","","","PI"
"2025/04/10 3:31:34 PM GMT+1","open, collaborative, structured","","","3","","2","4","a bit, good integration in home lab means you don't need as much to integrate in IBL","no","No","","3","4","4","4","3","","","","","Yes","researchers' representatives","","3","","","","2","","3","3","","3","2","4","4","4","","","4","","3","","","4","","2","","","Writing grants;Writing papers","3","1","","3","","","","","","","Postdoc"
